22776912:['design', 'design   implement complex interactive web sites including intranets', 'faxing']
23864648:['firewalls and routers', 'san', 'infrastructure management   data center operations   project management   team building coaching   vendor management and negotiation   budget management   policy program development    lan wan']
18187364:['consultation', 'access', 'tivoli']
83816738:['git', 'waterfall', 'intellij']
20824105:['gateway', 'operating systems  windows linux centos ubuntu rhel', 'networking']
33381211:['transformation and change advocate', 'coaching and talent development', 'people centered leadership']
16533554:['utilities', 'citrix metaframe xp', 'visio']
20879311:['logistics', 'access', 'networking']
31111279:['and pmo trained business analysts', 'manage and assist with creation of portfolio governance for information technology systems budget', 'skilled in clinical portfolio management']
17111768:[]
11584809:['active directory', 'microsoft exchange', 'system administration']
20408458:['retail', 'access', 'microsoft software']
91121135:['microsoft outlook', 'kronos', 'access']
24230851:['e  mail', 'developer', 'recording']
40018190:['active directory', 'cisco telephony tools', 'mobileiron']
16186411:['qa', 'utilities', 'access']
29975124:['project management', 'taxes', 'access']
26746496:[]
89413122:['training development', 'project management', 'information design']
12334140:['novell netware', 'networking', 'ibm']
10641230:['content management', 'networking', 'business management']
10265057:['publication', 'requirement', 'spectrum analyzer']
30223363:['adjustments', 'consumer marketing', 'subject matter expert']
15791766:['tcp ip', 'windows os', 'vpn']
29075857:['subject matter expert', 'qa test', 'project plans']
12763627:['software engineer', 'access', 'net']
39718499:['retail sales', 'marketing', 'fast learner']
27058381:['computers trouble shooting microsoft access microsoft excel microsoft powerpoint microsoft word computer security anti hacking  hids microsoft event logging adobe']
25857360:['directing', 'excel', 'scheduling']
26768723:['dedication', 'networking', 'linux']
31243710:['access', 'excel', 'pdf']
15297298:['educational programs', 'public relations', 'tcp ip']
27295996:['erp', 'project management', 'firewalls']
39413067:['ms sql', 'consultation', 'access']
48037995:['self disciplined and self motivated', 'high level of analytical and cognitive skills', 'compassion and courtesy']
15802627:['retail', 'virtualization', 'systems security']
51363762:['microsoft certified professional', 'customer support information technology', 'information security']
18067556:['logistics', 'access', 'pprogramming databases  sql  ssrs']
27485716:['people skills', 'budget planning', 'erp']
26480367:['web development and design', 'phone system', 'tops']
81761658:['voice mail', 'phone system', 'networking']
79541391:['qa', 'credit card', 'adjustments']
23666211:['course development', 'client', 'consultant']
12467531:['portfolio managament', 'excel', 'analysis']
19918523:['postgraduate professional license', 'mediation and advocacy talent', 'curriculum development and long term planning']
62184086:['time management', 'teacher', 'office']
28063132:['computer proficient', 'microsoft powerpoint', 'issue resolution']
29797594:['technology savvy', 'e', 'problem solve']
22408666:['translate', 'clerical', 'increase']
13087952:['immunology', 'classroom discipline', 'medical technology']
15850434:['technology', 'data driven goal setting', 'classroom management']
28772892:['vi', 'academic', 'teacher']
33704389:['math', 'reporting', 'charts']
16210888:['educational programs', 'spanish', 'council']
38750659:['adobe premier', 'proposal writing', 'office']
90363254:['conflict resolution', 'course development', 'research']
66906212:['bi lingual farsi and english', 'event planning fundraising experience', 'marketing experience']
34745915:['people person', 'active listener', 'problem solving']
34689720:['quality control and customer service management  motivational strategist', 'corporate trainer', 'member ge capital president s council']
48547319:['teaching skills', 'cpr certified', 'orgnization skills']
19464810:['social media knowledge', 'multi line phone proficiency', 'filing and data archiving']
28086303:['math', 'lesson plans', 'educator']
13855004:['math', 'excel', 'council']
35421497:['creative at lesson planning and hands on instruction', 'classroom management', 'dependable and detail orientated']
69005326:['residents and staf', 'pounds', 'feeding assistance specialist']
18001081:['classroom management', 'records of progress', 'small group guided reading instruction']
14958913:['autism', 'law', 'acute care']
13296856:['non profit management', 'microsoft office suite', 'conference organization']
63391085:['team player', 'leadership skills', 'excel']
23939133:['first aid', 'instructing', 'directing']
96547039:['creative thinking', 'first aid', 'safety']
22807104:['retail', 'tops', 'approach']
23628651:['quick learner', 'project management', 'spanish']
29486525:['content', 'problem solving', 'written']
22510753:['scanners', 'voice mail', 'access']
21773106:['organizing', 'listening', 'counseling']
34465087:['cash handlingprofessional and friendlycareful and active listenermulti tasking']
24791126:['farmac utico', 'programaci n', 'microbiologia']
15899269:['discharge planning', 'supervision', 'lesson plans']
37402097:['injections', 'anatomy', 'emr software']
36206485:['interpersonal skills', 'lesson plans', 'camera']
36569713:['lesson plans', 'fast learner', 'express']
28013287:['accounts receivable', 'math', 'listening']
29267293:['effectively work with parents', 'native spanish speaker', 'leadership']
45286020:['can apply varied teaching skills', 'average computer literate', 'can apply cpr']
13330982:['classroom management', 'urban classroom setting', 'community involvement']
22551979:['strong interpersonal skills', 'dedicated team player', 'time management']
29639533:['hard working', 'dedicated', 'team player and effective collaborator']
49285644:['infinite campus', 'microsoft office  word', 'excel']
16270906:['aviation', 'credit card', 'audit']
27531694:['access', 'excel', 'financial']
74816727:['good team member', 'merchandising', 'tutoring']
23398843:['friendly and likeable', 'spanish', 'art designer   children project']
31552617:[]
19556300:['tax', 'phone', 'teacher']
66683238:['team lead', 'math', 'logistics']
17311685:['character development', 'academic assessment methods', 'ms word powerpoint excel']
17481570:[]
22884757:['communication   presentation', 'creative lesson planning', 'interpersonal relationships']
58708773:['quality', 'listening', 'rapport']
10527994:['inventory', 'documentation', 'selection of materials']
69532425:['effective communication', 'time management', 'patience']
20399718:['technical support', 'speech therapy', 'consultation']
19302310:['team player', 'teacher', 'teaching']
51209395:['commitment to quality and service', 'profit enhancement', 'employee hiring and retention']
22632070:['interpersonal skills', 'math', 'lesson plans']
22056333:['preschool teacher', 'cpr', 'computer skills']
11336022:['excel', 'purchasing', 'quick']
11616482:['relationship building', 'business case', 'written communication skills']
34033933:['retail', 'listening', 'approach']
21531811:['surveys', 'quality', 'tutoring']
20626794:['microsoft', 'wpm', 'excel experienced']
58665241:[]
37660306:['inventory', 'purchasing', 'instruction']
13583538:['people skills', 'organizational skills', 'enthusiastic people person']
20230207:['brochures', 'instructing', 'director']
28642819:['bilingual speaking and reading fluently in english and spanish', 'handles details  coordinates and completes tasks plans and arranges activities  multi tasks writes clearly and concisely  listens attentively  openly expresses ideas provides and asks for feedback', 'demonstrate your ability to work well with a team']
16820422:['team player', 'liaison', 'travel arrangements']
29930479:['excel', 'computer proficiency in microsoft word', 'and power point']
25588694:['smart board notebook software', 'strong interpersonal skills', 'microsoft office']
86597425:['math', 'telephone etiquette', 'conference planning']
10909720:['i can usually calm a stressful situation quickly', 'i have a lot patience', 'i communicate really well with children']
28933005:['effective listening', 'special needs students', 'classroom discipline']
53129155:['educational programs', 'team player', 'teacher']
11943065:['first aid', 'classroom management', 'cpr']
45987048:['compliance', 'meticulous and organized', 'behavior modeling']
99244405:['adaptable', 'strong work ethic', 'positive']
32067700:['math', 'sales', 'ms office']
27126818:[]
19786924:['first aid', 'classroom management', 'excel']
70892619:['problem solving skills', 'database', 'supported students with special needs by developing behavioral and academic plans']
25729119:['strong background in mathematics', 'bookkeeping', 'fast learner']
58105060:['math', 'arabic', 'microsoft programs']
12587973:['spanish', 'databases', 'time management']
21611212:['cheerful and energetic', 'playful', 'crafts and games']
21550454:['strong problem solver', 'intimate knowledge of school system', 'professional communication']
86322251:['creative lesson planning', 'motivator', 'classroom management']
22968380:['great organizational skills', 'enthusiastic people person']
10504237:['qa', 'department of health', 'laboratory procedures']
24240349:['administrative duties', 'drafting contracits', 'record keeing']
20478831:['newsletter development', 'administrative skills', 'clerical   documentation and shorthand']
79663360:['great communication and note taking skills', 'computer literate and valid texas driver s license insurance']
76196367:['math', 'proposal writing', 'databases']
27524018:['inventory', 'coach', 'laundry']
27798860:['lidar data', 'firefox', 'access']
14445309:['liaison', 'federal government', 'public policy']
35474904:['microsoft outlook', 'discharge planning', 'adding machines']
37348041:['quick', 'six sigma', 'strategic']
89508407:['detail oriented', 'strong written and oral communication skills', 'crm experience']
25873425:['problem solving skills', 'proficient in gsuite', 'administrative support']
31040875:['sales', 'money', 'government']
11188218:['schedule management', 'taxes', 'wireless device troubleshooting']
73448369:['fast data entry', 'spreadsheet tables preparation', 'making fast strategic decisions in accordance to company rules']
42164460:['computer proficient', 'quick learner', 'creative problem solving']
18725071:['microsoft word', 'excel', 'mental health']
28974459:['medical assistant', 'access', 'cpr certified']
38291889:['access', 'networking', 'share point']
12171093:['filing', 'multi tasking', 'careful and active listener']
13967854:['bilingual in spanish and english', 'public speaking ability', 'intervention techniques']
90468982:['fsa', 'tax', 'cash handling']
49475708:['wise', 'policies', 'mark']
54067174:['quick learner', 'listening', 'patient care']
49486820:['networking', 'branding', 'human resource  recruiting']
38860712:['cpr', 'notes', 'therapeutic options training']
16332348:['compensation', 'phone system', 'dynamics']
34970271:['financial', 'protocols', 'office']
14064815:['linx', 'team leadership', 'high customer service standards']
12544735:['team player', 'coordinate patient care', 'self motivated']
20138606:['leadership skills', 'excel', 'risk management']
36694627:['taking messages', 'access', 'approach']
29926588:['documentation', 'and research skills', 'organizational']
28206098:['anatomy', 'patient care', 'phone']
20765795:['case management', 'client advocacy', 'public relations']
20272792:['adaptability', 'problem solving', 'leadership']
